date,temp_mean,precip_sum,wind_max,station
2018-08,20.49,48.9,28.39,PARIS EST
2018-09,16.82,23.8,43.85,PARIS EST
2018-10,13.39,35.3,34.07,PARIS EST
2018-11,7.63,86.0,29.18,PARIS EST
2018-12,6.46,72.8,40.89,PARIS EST
2019-01,3.47,51.8,32.59,PARIS EST
2019-02,6.2,28.2,39.64,PARIS EST
2019-03,8.94,62.1,44.92,PARIS EST
2019-04,10.61,28.1,31.61,PARIS EST
2019-05,13.04,82.7,28.53,PARIS EST
2019-06,19.0,71.2,41.19,PARIS EST
2019-07,21.48,25.1,29.96,PARIS EST
2019-08,19.98,75.1,32.45,PARIS EST
2019-09,16.92,34.1,42.6,PARIS EST
2019-10,13.11,104.6,33.06,PARIS EST
2019-11,7.35,92.9,30.81,PARIS EST
2019-12,6.24,89.0,44.29,PARIS EST
2020-01,6.16,47.2,37.02,PARIS EST
2020-02,8.02,111.7,51.19,PARIS EST
2020-03,7.76,54.6,40.43,PARIS EST
2020-04,13.84,30.9,33.43,PARIS EST
2020-05,15.52,26.4,37.36,PARIS EST
2020-06,18.04,52.4,33.68,PARIS EST
2020-07,20.22,7.3,27.97,PARIS EST
2020-08,21.53,34.4,35.36,PARIS EST
2020-09,18.12,43.4,34.8,PARIS EST
2020-10,12.18,90.4,39.61,PARIS EST
2020-11,8.8,17.1,37.35,PARIS EST
2020-12,6.04,135.0,45.2,PARIS EST
2021-01,4.39,103.6,42.01,PARIS EST
2021-02,6.0,43.9,35.01,PARIS EST
2021-03,7.59,37.1,38.99,PARIS EST
2021-04,8.3,31.0,27.0,PARIS EST
2021-05,12.69,72.8,34.96,PARIS EST
2021-06,18.91,95.7,30.57,PARIS EST
2021-07,19.06,93.0,35.03,PARIS EST
2021-08,18.32,24.2,31.67,PARIS EST
2021-09,17.58,79.4,25.5,PARIS EST
2021-10,11.72,69.2,52.4,PARIS EST
2021-11,6.26,24.4,30.39,PARIS EST
2021-12,6.2,80.1,32.83,PARIS EST
2022-01,4.13,50.3,41.86,PARIS EST
2022-02,6.89,26.9,47.03,PARIS EST
2022-03,8.48,47.1,29.53,PARIS EST
2022-04,10.86,49.3,38.48,PARIS EST
2022-05,16.28,37.9,29.27,PARIS EST
2022-06,18.78,94.0,28.82,PARIS EST
2022-07,21.62,26.4,26.37,PARIS EST
2022-08,22.04,48.9,23.04,PARIS EST
2022-09,15.8,79.6,30.85,PARIS EST
2022-10,15.11,86.3,36.87,PARIS EST
2022-11,9.12,67.7,38.75,PARIS EST
2022-12,5.01,102.2,37.07,PARIS EST
2023-01,5.6,64.3,43.22,PARIS EST
2023-02,5.3,4.3,32.05,PARIS EST
2023-03,8.88,107.5,42.58,PARIS EST
2023-04,9.68,75.3,37.46,PARIS EST
2023-05,14.67,63.5,26.76,PARIS EST
2023-06,20.89,60.2,26.53,PARIS EST
2023-07,20.26,103.7,32.45,PARIS EST
2023-08,19.47,123.0,44.65,PARIS EST
2023-09,19.59,70.8,30.39,PARIS EST
2023-10,14.2,100.9,39.48,PARIS EST
2023-11,8.5,100.6,47.02,PARIS EST
2023-12,7.5,73.2,36.56,PARIS EST
2024-01,3.99,64.2,41.26,PARIS EST
2024-02,8.67,109.3,42.52,PARIS EST
2024-03,9.1,105.1,39.29,PARIS EST
2024-04,11.25,86.8,38.96,PARIS EST
2024-05,14.39,125.1,25.01,PARIS EST
2024-06,16.64,104.4,30.29,PARIS EST
2024-07,19.93,92.1,27.53,PARIS EST
2024-08,20.45,104.2,28.55,PARIS EST
2024-09,15.3,127.7,34.1,PARIS EST
2024-10,13.23,118.0,26.89,PARIS EST
2024-11,8.15,57.5,29.21,PARIS EST
2024-12,6.05,55.6,29.56,PARIS EST
2025-01,3.98,136.7,33.01,PARIS EST
2025-02,4.92,50.3,26.03,PARIS EST
2025-03,8.49,22.4,24.7,PARIS EST
2025-04,13.88,29.3,19.51,PARIS EST
2025-05,15.85,57.4,24.2,PARIS EST
2025-06,21.86,57.3,24.09,PARIS EST
2025-07,20.28,143.8,21.19,PARIS EST
2025-08,20.78,26.1,20.63,PARIS EST
2025-09,15.77,55.4,28.71,PARIS EST
2025-10,12.6,48.9,29.38,PARIS EST
2025-11,8.47,76.4,21.38,PARIS EST
2025-12,6.59,36.9,25.54,PARIS EST
2026-01,5.33,73.7,33.62,PARIS EST
2026-02,8.82,118.3,26.02,PARIS EST
